weight_profile,scenario_key,scenario_label,method,toggle_off,run,seed,feasible,total_score,total_cost,hard_total,kpi_mold_change,kpi_night_mold_change,kpi_inventory,kpi_machine_count,elapsed_sec,status,error
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,9,9,False,6930125.119444445,6925321.0,4804.1194444444445,5.0,0.0,6925201.0,14.0,61.8971,ok,
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,10,10,False,8014433.991944444,8009560.0,4873.991944444444,5.0,0.0,8009425.0,17.0,58.6864,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,1,1,False,4783987.946666667,3211510.0,1572477.9466666668,5.0,0.0,3211380.0,16.0,60.5178,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,2,2,False,4799918.933055555,3024586.0,1775332.9330555557,9.0,0.0,3024411.0,17.0,63.9093,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,3,3,False,4788542.7144444445,3214275.0,1574267.7144444443,7.0,0.0,3214120.0,17.0,61.9194,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,4,4,False,4720682.204444444,3120979.0,1599703.2044444443,3.0,0.0,3120864.0,17.0,66.3328,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,5,5,False,4729117.779444445,2801514.0,1927603.7794444445,7.0,0.0,2801359.0,17.0,63.8273,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,6,6,False,4702554.601111111,3100785.0,1601769.6011111112,5.0,0.0,3100650.0,17.0,59.1564,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,7,7,False,4786174.320555556,3157903.0,1628271.3205555556,5.0,0.0,3157773.0,16.0,64.4997,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,8,8,False,4870441.433055555,3308180.0,1562261.4330555554,6.0,0.0,3308040.0,16.0,61.7316,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,9,9,False,4763876.87,3156422.0,1607454.87,5.0,0.0,3156287.0,17.0,61.7377,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,10,10,False,4775255.442222223,3095149.0,1680106.4422222222,3.0,0.0,3095034.0,17.0,62.7861,ok,
default,no_tabu,Without Tabu refinement,ga,,1,1,False,4835203.400833333,3182711.0,1652492.4008333334,7.0,0.0,3182556.0,17.0,60.7769,ok,
default,no_tabu,Without Tabu refinement,ga,,2,2,False,4810645.094722223,3411406.0,1399239.094722222,8.0,0.0,3411241.0,17.0,59.1947,ok,
default,no_tabu,Without Tabu refinement,ga,,3,3,False,4796066.826111111,3020454.0,1775612.826111111,4.0,0.0,3020334.0,16.0,57.9098,ok,
default,no_tabu,Without Tabu refinement,ga,,4,4,False,4778685.351111111,3120533.0,1658152.3511111112,8.0,0.0,3120373.0,16.0,59.6305,ok,
default,no_tabu,Without Tabu refinement,ga,,5,5,False,4793776.0755555555,3203932.0,1589844.0755555555,7.0,0.0,3203782.0,16.0,58.6358,ok,
default,no_tabu,Without Tabu refinement,ga,,6,6,False,4725339.996111112,3033544.0,1691795.9961111112,7.0,0.0,3033389.0,17.0,61.1862,ok,
default,no_tabu,Without Tabu refinement,ga,,7,7,False,4783118.5675,3049933.0,1733185.5675000001,13.0,0.0,3049723.0,16.0,57.6697,ok,
default,no_tabu,Without Tabu refinement,ga,,8,8,False,4870441.433055555,3308180.0,1562261.4330555554,6.0,0.0,3308040.0,16.0,55.35,ok,
